Name,Config,FLOPs,Parameters,Top 1 Accuracy,Top 5 Accuracy,Epochs,Batch Size,Training Techniques
xcit-tiny-24-p16_3rdparty_in1k,configs/xcit/xcit-tiny-24-p16_8xb128_in1k.py,2339305152,12116896,79.47,94.85,,,
hrnet-w64_3rdparty_8xb32_in1k,configs/hrnet/hrnet-w64_4xb32_in1k.py,29002298752,128056104,79.46,94.65,,,
repvgg-B2g4_8xb32_in1k,configs/repvgg/repvgg-B2g4_8xb32_in1k.py,11329464832,55777512,79.44,94.72,,,
edgenext-small_3rdparty_in1k,configs/edgenext/edgenext-small_8xb256_in1k.py,1249788000,5586832,79.41,94.53,,,
resnetv1d152_8xb32_in1k,configs/resnet/resnetv1d152_8xb32_in1k.py,11820000000,60210000,79.41,94.7,,,
regnetx-6.4gf_8xb64_in1k,configs/regnet/regnetx-6.4gf_8xb64_in1k.py,6510000000,26210000,79.38,94.65,,,
hrnet-w48_3rdparty_8xb32_in1k,configs/hrnet/hrnet-w48_4xb32_in1k.py,17364014752,77466024,79.32,94.52,,,
resnext101-32x8d_8xb32_in1k,configs/resnext/resnext101-32x8d_8xb32_in1k.py,16500000000,88790000,79.27,94.58,,,
efficientnet-b1_3rdparty_8xb32-aa_in1k,configs/efficientnet/efficientnet-b1_8xb32_in1k.py,744059920,7794184,79.2,94.42,,,
res2net50-w26-s8_3rdparty_8xb32_in1k,configs/res2net/res2net50-w26-s8_8xb32_in1k.py,8390000000,48400000,79.2,94.36,,,
res2net101-w26-s4_3rdparty_8xb32_in1k,configs/res2net/res2net101-w26-s4_8xb32_in1k.py,8120000000,45210000,79.19,94.44,,,
regnetx-8.0gf_8xb64_in1k,configs/regnet/regnetx-8.0gf_8xb64_in1k.py,8030000000,39570000,79.12,94.51,,,
tinyvit-5m_3rdparty_in1k,configs/tinyvit/tinyvit-5m_8xb256_in1k.py,1286655360,5392764,79.02,94.74,,,
hrnet-w40_3rdparty_8xb32_in1k,configs/hrnet/hrnet-w40_4xb32_in1k.py,12767574064,57553320,78.94,94.47,,,
resnetv1d101_8xb32_in1k,configs/resnet/resnetv1d101_8xb32_in1k.py,8090000000,44570000,78.93,94.48,,,
vit-base-p16_milan-pre_8xb2048-linear-coslr-100e_in1k,configs/milan/benchmarks/vit-base-p16_8xb2048-linear-coslr-100e_in1k.py,17581972992,86567656,78.9,,100.0,16384.0,
hrnet-w44_3rdparty_8xb32_in1k,configs/hrnet/hrnet-w44_4xb32_in1k.py,14963902632,67061144,78.88,94.37,,,
resnext152-32x4d_8xb32_in1k,configs/resnext/resnext152-32x4d_8xb32_in1k.py,11800000000,59950000,78.88,94.33,,,
wide-resnet101_3rdparty_8xb32_in1k,configs/wrn/wide-resnet101_8xb32_in1k.py,22810000000,126890000,78.84,94.28,,,
resnetv1c152_8xb32_in1k,configs/resnet/resnetv1c152_8xb32_in1k.py,11820000000,60210000,78.76,94.41,,,
xcit-tiny-12-p16_3rdparty-dist_in1k,configs/xcit/xcit-tiny-12-p16_8xb128_in1k.py,1239698112,6716272,78.7,94.12,,,
efficientnet-b1_3rdparty_8xb32_in1k,configs/efficientnet/efficientnet-b1_8xb32_in1k.py,744059920,7794184,78.68,94.28,,,
resnext101-32x4d_8xb32_in1k,configs/resnext/resnext101-32x4d_8xb32_in1k.py,8030000000,44180000,78.61,94.17,,,
regnetx-4.0gf_8xb64_in1k,configs/regnet/regnetx-4.0gf_8xb64_in1k.py,4000000000,22120000,78.6,94.17,,,
levit-128_3rdparty_in1k,configs/levit/levit-128_8xb256_in1k.py,413060992,8828168,78.58,93.95,,,
repvgg-B2_8xb32_in1k,configs/repvgg/repvgg-B2_8xb32_in1k.py,18374175232,80315112,78.58,94.23,,,
efficientnetv2-b0_3rdparty_in1k,configs/efficientnet_v2/efficientnetv2-b0_8xb32_in1k.py,919843360,7139704,78.52,94.44,,,
resnet152_8xb32_in1k,configs/resnet/resnet152_8xb32_in1k.py,11580000000,60190000,78.48,94.13,,,
convnext-v2-femto_fcmae-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-femto_32xb32_in1k.py,784892544,5233240,78.48,93.98,,,
wide-resnet50_3rdparty_8xb32_in1k,configs/wrn/wide-resnet50_8xb32_in1k.py,11440000000,68880000,78.48,94.08,,,
hrnet-w32_3rdparty_8xb32_in1k,configs/hrnet/hrnet-w32_4xb32_in1k.py,8986267584,41228840,78.44,94.19,,,
pvig-tiny_3rdparty_in1k,configs/vig/pvig-tiny_8xb128_in1k.py,1714000000,9458000,78.38,94.38,,,
resnet50_8xb256-rsb-a3-100e_in1k,configs/resnet/resnet50_8xb256-rsb-a3-100e_in1k.py,4120000000,25560000,78.3,93.8,,2048.0,"['LAMB', 'Weight Decay', 'Cosine Annealing', 'Mixup', 'CutMix', 'RandAugment']"
resnetv1c101_8xb32_in1k,configs/resnet/resnetv1c101_8xb32_in1k.py,8090000000,44570000,78.3,94.27,,,
riformer-s12_in1k-384,configs/riformer/riformer-s12_8xb128_in1k-384px.py,5355000000,11915000,78.29,93.93,,,
seresnet101_8xb32_in1k,configs/seresnet/seresnet101_8xb32_in1k.py,7860000000,49330000,78.26,94.07,,,
mobilevit-small_3rdparty_in1k,configs/mobilevit/mobilevit-small_8xb128_in1k.py,2030000000,5580000,78.25,94.09,,,
repvgg-B1_8xb32_in1k,configs/repvgg/repvgg-B1_8xb32_in1k.py,11813537792,51829480,78.19,94.04,,,
hrnet-w30_3rdparty_8xb32_in1k,configs/hrnet/hrnet-w30_4xb32_in1k.py,8168305684,37708380,78.19,94.22,,,
res2net50-w14-s8_3rdparty_8xb32_in1k,configs/res2net/res2net50-w14-s8_8xb32_in1k.py,4220000000,25060000,78.14,93.85,,,
regnetx-3.2gf_8xb64_in1k,configs/regnet/regnetx-3.2gf_8xb64_in1k.py,1530000000,3210000,78.09,94.08,,,
mobileone-s3_8xb32_in1k,configs/mobileone/mobileone-s3_8xb32_in1k.py,1893842944,10078312,78.06,93.83,,,
resnet101_8xb32_in1k,configs/resnet/resnet101_8xb32_in1k.py,7850000000,44550000,77.97,94.06,,,
resnext50-32x4d_8xb32_in1k,configs/resnext/resnext50-32x4d_8xb32_in1k.py,4270000000,25030000,77.9,93.66,,,
repvgg-B1g2_8xb32_in1k,configs/repvgg/repvgg-B1g2_8xb32_in1k.py,8807794688,41360104,77.87,93.99,,,
repvgg-B1g4_8xb32_in1k,configs/repvgg/repvgg-B1g4_8xb32_in1k.py,7304923136,36125416,77.81,93.77,,,
seresnet50_8xb32_in1k,configs/seresnet/seresnet50_8xb32_in1k.py,4130000000,28090000,77.74,93.84,,,
xcit-nano-12-p8_3rdparty-dist_in1k-384px,configs/xcit/xcit-nano-12-p8_8xb128_in1k-384px.py,6337760896,3049016,77.69,94.09,,,
efficientnet-b0_3rdparty-ra-noisystudent_in1k,configs/efficientnet/efficientnet-b0_8xb32_in1k.py,420592480,5288548,77.63,94.0,,,
densenet161_3rdparty_in1k,configs/densenet/densenet161_4xb256_in1k.py,7816363968,28681000,77.61,93.83,,,
inception-v3_3rdparty_8xb32_in1k,configs/inception_v3/inception-v3_8xb32_in1k.py,5745177632,23834568,77.57,93.58,,,
resnetv1d50_8xb32_in1k,configs/resnet/resnetv1d50_8xb32_in1k.py,4360000000,25580000,77.54,93.57,,,
efficientnet-b0_3rdparty_8xb32-aa-advprop_in1k,configs/efficientnet/efficientnet-b0_8xb32-01norm_in1k.py,420592480,5288548,77.53,93.61,,,
mobileone-s2_8xb32_in1k,configs/mobileone/mobileone-s2_8xb32_in1k.py,1296478848,7808168,77.37,93.34,,,
densenet201_3rdparty_in1k,configs/densenet/densenet201_4xb256_in1k.py,4365236736,20013928,77.32,93.64,,,
efficientnet-b0_3rdparty_8xb32-aa_in1k,configs/efficientnet/efficientnet-b0_8xb32_in1k.py,420592480,5288548,77.26,93.41,,,
poolformer-s12_3rdparty_32xb128_in1k,configs/poolformer/poolformer-s12_32xb128_in1k.py,1871399424,11915176,77.24,93.51,,,
xcit-tiny-12-p16_3rdparty_in1k,configs/xcit/xcit-tiny-12-p16_8xb128_in1k.py,1239698112,6716272,77.21,93.62,,,
resnetv1c50_8xb32_in1k,configs/resnet/resnetv1c50_8xb32_in1k.py,4360000000,25580000,77.01,93.58,,,
convmixer-1024-20_3rdparty_in1k,configs/convmixer/convmixer-1024-20_10xb64_in1k.py,5550112768,24383464,76.94,93.36,,,
vit-base-p16_mocov3-pre_8xb128-linear-coslr-90e_in1k,configs/mocov3/benchmarks/vit-base-p16_8xb128-linear-coslr-90e_in1k.py,17581972224,86567656,76.9,,90.0,1024.0,
riformer-s12_in1k,configs/riformer/riformer-s12_8xb128_in1k.py,1822000000,11915000,76.9,93.06,,,
regnetx-1.6gf_8xb128_in1k,configs/regnet/regnetx-1.6gf_8xb128_in1k.py,1630000000,9190000,76.84,93.31,,,
hrnet-w18_3rdparty_8xb32_in1k,configs/hrnet/hrnet-w18_4xb32_in1k.py,4330397932,21295164,76.75,93.44,,,
efficientnet-b0_3rdparty_8xb32_in1k,configs/efficientnet/efficientnet-b0_8xb32_in1k.py,420592480,5288548,76.74,93.17,,,
mlp-mixer-base-p16_3rdparty_64xb64_in1k,configs/mlp_mixer/mlp-mixer-base-p16_64xb64_in1k.py,12610000000,59880000,76.68,92.25,,,
convnext-v2-atto_fcmae-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-atto_32xb32_in1k.py,551718080,3708400,76.64,93.04,,,
resnet50_8xb32_in1k,configs/resnet/resnet50_8xb32_in1k.py,4120000000,25560000,76.55,93.06,,,
levit-128s_3rdparty_in1k,configs/levit/levit-128s_8xb256_in1k.py,310342496,7391290,76.51,92.9,,,
repvgg-A2_8xb32_in1k,configs/repvgg/repvgg-A2_8xb32_in1k.py,5115612544,25499944,76.49,93.09,,,
resnet50_8xb32-fp16_in1k,configs/resnet/resnet50_8xb32-fp16_in1k.py,4120000000,25560000,76.3,93.07,,,"['SGD with Momentum', 'Weight Decay', 'Mixed Precision Training']"
xcit-nano-12-p8_3rdparty-dist_in1k,configs/xcit/xcit-nano-12-p8_8xb128_in1k.py,2156861056,3049016,76.17,93.08,,,
densenet169_3rdparty_in1k,configs/densenet/densenet169_4xb256_in1k.py,3416860160,14149480,76.08,93.11,,,
mobileone-s1_8xb32_in1k,configs/mobileone/mobileone-s1_8xb32_in1k.py,823839744,4764840,75.72,92.54,,,
vit-large-p16_mae-1600e-pre_8xb2048-linear-coslr-90e_in1k,configs/mae/benchmarks/vit-large-p16_8xb2048-linear-coslr-90e_in1k.py,61603112960,304326632,75.5,,90.0,16384.0,
van-tiny_3rdparty_in1k,configs/van/van-tiny_8xb128_in1k.py,880000000,4110000,75.41,93.02,,,
repvgg-B0_8xb32_in1k,configs/repvgg/repvgg-B0_8xb32_in1k.py,15820000000,3420000,75.27,92.21,,,
densenet121_3rdparty_in1k,configs/densenet/densenet121_4xb256_in1k.py,2881695488,7978856,74.96,92.21,,,
xcit-nano-12-p16_3rdparty-dist_in1k-384px,configs/xcit/xcit-nano-12-p16_8xb128_in1k-384px.py,1636347520,3053224,74.93,92.42,,,
edgenext-xsmall_3rdparty_in1k,configs/edgenext/edgenext-xsmall_8xb256_in1k.py,529970560,2336804,74.86,92.31,,,
